planner_name,case_id,case_name,purpose,tier,enable_move_rotate,success,planning_time_sec,num_robots,makespan,sum_of_costs,total_wait,total_move,total_rotate,total_move_rotate,notes,R0_cost,R0_num_states,R0_num_transitions,R0_wait,R0_move,R0_rotate,R0_move_rotate,R1_cost,R1_num_states,R1_num_transitions,R1_wait,R1_move,R1_rotate,R1_move_rotate,R2_cost,R2_num_states,R2_num_transitions,R2_wait,R2_move,R2_rotate,R2_move_rotate,R3_cost,R3_num_states,R3_num_transitions,R3_wait,R3_move,R3_rotate,R3_move_rotate
LaCAM,case_01,Case 01: rotation only,回転単体確認,Tier 1: primitive sanity,False,True,0.007143600028939545,1,2.3,2.3,0,0,2,0,solved | python_orientation_lacam_step3,2.3,3,2,0,0,2,0,,,,,,,,,,,,,,,,,,,,,
LaCAM,case_01,Case 01: rotation only,回転単体確認,Tier 1: primitive sanity,True,True,0.040306299983058125,1,2.1,2.1,0,0,0,2,solved | python_orientation_lacam_step3,2.1,3,2,0,0,0,2,,,,,,,,,,,,,,,,,,,,,
LaCAM,case_02,Case 02: move+rotate,move+rotate 単体効果,Tier 1: primitive sanity,False,True,0.007077999995090067,1,3.15,3.15,0,2,1,0,solved | python_orientation_lacam_step3,3.15,4,3,0,2,1,0,,,,,,,,,,,,,,,,,,,,,
LaCAM,case_02,Case 02: move+rotate,move+rotate 単体効果,Tier 1: primitive sanity,True,True,0.03547999996226281,1,2.05,2.05,0,1,0,1,solved | python_orientation_lacam_step3,2.05,3,2,0,1,0,1,,,,,,,,,,,,,,,,,,,,,
LaCAM,case_03,Case 03: two robot corridor,単純な2台対向協調,Tier 2: simple coordination,False,True,0.013464100018609315,2,6.0,10.0,0,10,0,0,solved | python_orientation_lacam_step3,4.0,5,4,0,4,0,0,6.0,7,6,0,6,0,0,,,,,,,,,,,,,,
LaCAM,case_03,Case 03: two robot corridor,単純な2台対向協調,Tier 2: simple coordination,True,True,0.05152839998481795,2,6.0,10.0,0,10,0,0,solved | python_orientation_lacam_step3,4.0,5,4,0,4,0,0,6.0,7,6,0,6,0,0,,,,,,,,,,,,,,
LaCAM,case_04,Case 04: two robot with obstacle wall,障害物あり協調,Tier 3: obstacle helpful,False,True,0.023793799977283925,2,9.15,18.3,0,16,2,0,solved | python_orientation_lacam_step3,9.15,10,9,0,8,1,0,9.15,10,9,0,8,1,0,,,,,,,,,,,,,,
LaCAM,case_04,Case 04: two robot with obstacle wall,障害物あり協調,Tier 3: obstacle helpful,True,True,0.05358050001086667,2,8.05,16.1,0,14,0,2,solved | python_orientation_lacam_step3,8.05,9,8,0,7,0,1,8.05,9,8,0,7,0,1,,,,,,,,,,,,,,
LaCAM,case_a,Case A: move+rotate helpful,move+rotate 有効例,Tier 3: obstacle helpful,False,True,0.010999999998603016,1,7.15,7.15,0,6,1,0,solved | python_orientation_lacam_step3,7.15,8,7,0,6,1,0,,,,,,,,,,,,,,,,,,,,,
LaCAM,case_a,Case A: move+rotate helpful,move+rotate 有効例,Tier 3: obstacle helpful,True,True,0.03849679999984801,1,6.05,6.05,0,5,0,1,solved | python_orientation_lacam_step3,6.05,7,6,0,5,0,1,,,,,,,,,,,,,,,,,,,,,
