planner_name,case_id,case_name,purpose,tier,enable_move_rotate,success,planning_time_sec,num_robots,makespan,sum_of_costs,total_wait,total_move,total_rotate,total_move_rotate,notes,R0_cost,R0_num_states,R0_num_transitions,R0_wait,R0_move,R0_rotate,R0_move_rotate,R1_cost,R1_num_states,R1_num_transitions,R1_wait,R1_move,R1_rotate,R1_move_rotate,R2_cost,R2_num_states,R2_num_transitions,R2_wait,R2_move,R2_rotate,R2_move_rotate,R3_cost,R3_num_states,R3_num_transitions,R3_wait,R3_move,R3_rotate,R3_move_rotate
LaCAM,case_01,Case 01: rotation only,回転単体確認,Tier 1: primitive sanity,False,True,0.006766100006643683,1,2.3,2.3,0,0,2,0,solved | python_orientation_lacam_step3,2.3,3,2,0,0,2,0,,,,,,,,,,,,,,,,,,,,,
LaCAM,case_01,Case 01: rotation only,回転単体確認,Tier 1: primitive sanity,True,True,0.037977100000716746,1,2.1,2.1,0,0,0,2,solved | python_orientation_lacam_step3,2.1,3,2,0,0,0,2,,,,,,,,,,,,,,,,,,,,,
LaCAM,case_02,Case 02: move+rotate,move+rotate 単体効果,Tier 1: primitive sanity,False,True,0.006829000019934028,1,3.15,3.15,0,2,1,0,solved | python_orientation_lacam_step3,3.15,4,3,0,2,1,0,,,,,,,,,,,,,,,,,,,,,
LaCAM,case_02,Case 02: move+rotate,move+rotate 単体効果,Tier 1: primitive sanity,True,True,0.0353505999664776,1,2.05,2.05,0,1,0,1,solved | python_orientation_lacam_step3,2.05,3,2,0,1,0,1,,,,,,,,,,,,,,,,,,,,,
LaCAM,case_03,Case 03: two robot corridor,単純な2台対向協調,Tier 2: simple coordination,False,True,0.013156200002413243,2,6.0,10.0,0,10,0,0,solved | python_orientation_lacam_step3,4.0,5,4,0,4,0,0,6.0,7,6,0,6,0,0,,,,,,,,,,,,,,
LaCAM,case_03,Case 03: two robot corridor,単純な2台対向協調,Tier 2: simple coordination,True,True,0.05161010002484545,2,6.0,10.0,0,10,0,0,solved | python_orientation_lacam_step3,4.0,5,4,0,4,0,0,6.0,7,6,0,6,0,0,,,,,,,,,,,,,,
LaCAM,case_04,Case 04: two robot with obstacle wall,障害物あり協調,Tier 3: obstacle helpful,False,True,0.023631999967619777,2,9.15,18.3,0,16,2,0,solved | python_orientation_lacam_step3,9.15,10,9,0,8,1,0,9.15,10,9,0,8,1,0,,,,,,,,,,,,,,
LaCAM,case_04,Case 04: two robot with obstacle wall,障害物あり協調,Tier 3: obstacle helpful,True,True,0.05438410001806915,2,8.05,16.1,0,14,0,2,solved | python_orientation_lacam_step3,8.05,9,8,0,7,0,1,8.05,9,8,0,7,0,1,,,,,,,,,,,,,,
LaCAM,case_a,Case A: move+rotate helpful,move+rotate 有効例,Tier 3: obstacle helpful,False,True,0.009909600019454956,1,7.15,7.15,0,6,1,0,solved | python_orientation_lacam_step3,7.15,8,7,0,6,1,0,,,,,,,,,,,,,,,,,,,,,
LaCAM,case_a,Case A: move+rotate helpful,move+rotate 有効例,Tier 3: obstacle helpful,True,True,0.0391671999823302,1,6.05,6.05,0,5,0,1,solved | python_orientation_lacam_step3,6.05,7,6,0,5,0,1,,,,,,,,,,,,,,,,,,,,,
LaCAM,case_b,Case B: move+rotate likely unhelpful,move+rotate 不要例,Tier 2: simple coordination,False,True,0.009121500013861805,2,6.0,12.0,0,12,0,0,solved | python_orientation_lacam_step3,6.0,7,6,0,6,0,0,6.0,7,6,0,6,0,0,,,,,,,,,,,,,,
LaCAM,case_b,Case B: move+rotate likely unhelpful,move+rotate 不要例,Tier 2: simple coordination,True,True,0.04297790001146495,2,6.0,12.0,0,12,0,0,solved | python_orientation_lacam_step3,6.0,7,6,0,6,0,0,6.0,7,6,0,6,0,0,,,,,,,,,,,,,,
LaCAM,case_c,Case C: coordination sensitive,干渉が強い協調ケース,Tier 4: hard coordination,False,True,0.16165570000885054,2,11.0,17.0,5,12,0,0,solved | python_orientation_lacam_step3,11.0,12,11,5,6,0,0,6.0,7,6,0,6,0,0,,,,,,,,,,,,,,
LaCAM,case_c,Case C: coordination sensitive,干渉が強い協調ケース,Tier 4: hard coordination,True,True,0.07783300004666671,2,9.200000000000001,13.200000000000001,3,6,0,4,solved | python_orientation_lacam_step3,4.0,5,4,0,4,0,0,9.200000000000001,10,9,3,2,0,4,,,,,,,,,,,,,,
LaCAM,case_d,Case D: 3-agent single bottleneck,3台が単一ボトルネックを共有し、通過順序で品質差が出るケース,Tier 4: hard coordination,False,True,0.07520600000862032,3,15.0,34.0,10,24,0,0,solved | python_orientation_lacam_step3,15.0,16,15,7,8,0,0,11.0,12,11,3,8,0,0,8.0,9,8,0,8,0,0,,,,,,,
LaCAM,case_d,Case D: 3-agent single bottleneck,3台が単一ボトルネックを共有し、通過順序で品質差が出るケース,Tier 4: hard coordination,True,True,0.18394150002859533,3,14.200000000000001,31.400000000000006,9,14,0,8,solved | python_orientation_lacam_step3,6.0,7,6,0,6,0,0,11.200000000000001,12,11,3,4,0,4,14.200000000000001,15,14,6,4,0,4,,,,,,,
LaCAM,case_e,Case E: 4-agent cross intersection,4方向から中央へ同時進入する十字交差ケース,Tier 4: hard coordination,False,False,1.6486574999871664,4,,,,,,,initial_planning_failed | Failed to build initial solution,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LaCAM,case_e,Case E: 4-agent cross intersection,4方向から中央へ同時進入する十字交差ケース,Tier 4: hard coordination,True,False,3.389461000042502,4,,,,,,,initial_planning_failed | Failed to build initial solution,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LaCAM,case_f,Case F: pocket evacuation,退避ポケットを使うか待機するかで差が出るケース,Tier 4: hard coordination,False,True,0.026573500013910234,3,10.0,24.0,1,23,0,0,solved | python_orientation_lacam_step3,6.0,7,6,0,6,0,0,8.0,9,8,0,8,0,0,10.0,11,10,1,9,0,0,,,,,,,
LaCAM,case_f,Case F: pocket evacuation,退避ポケットを使うか待機するかで差が出るケース,Tier 4: hard coordination,True,True,0.08635779999895021,3,10.2,21.2,0,17,0,4,solved | python_orientation_lacam_step3,10.2,11,10,0,6,0,4,6.0,7,6,0,6,0,0,5.0,6,5,0,5,0,0,,,,,,,
LaCAM,case_g,Case G: double bottleneck,2つの狭窄部をまたぐため局所最適に落ちやすいケース,Tier 4: hard coordination,False,False,0.29413860000204295,4,,,,,,,initial_planning_failed | Failed to build initial solution,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LaCAM,case_g,Case G: double bottleneck,2つの狭窄部をまたぐため局所最適に落ちやすいケース,Tier 4: hard coordination,True,True,0.2774671000079252,4,24.200000000000003,69.5,23,36,0,10,solved | python_orientation_lacam_step3,8.0,9,8,0,8,0,0,17.200000000000003,18,17,7,6,0,4,20.1,21,20,2,16,0,2,24.200000000000003,25,24,14,6,0,4
LaCAM,case_h,Case H: asymmetric orientation-critical,姿勢変更が本質的に効く非対称な強干渉ケース,Tier 4: hard coordination,False,False,1.1229082000209019,3,,,,,,,initial_planning_failed | Failed to build initial solution,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LaCAM,case_h,Case H: asymmetric orientation-critical,姿勢変更が本質的に効く非対称な強干渉ケース,Tier 4: hard coordination,True,False,1.2714955999981612,3,,,,,,,initial_planning_failed | Failed to build initial solution,,,,,,,,,,,,,,,,,,,,,,,,,,,,
